类型,型号 / 规格,封装,材质,耐压,数量,参考品牌/料号（非强制）,立创料号（参考）,规格要求
芯片,CH224K,ESSOP-10,—,4~22V,10,沁恒 CH224K,C970725,USB PD 诱骗。U18。必须原装，山寨件档位不准
芯片,SY6970QCC,QFN4x4-24,—,BUS 3.9~14V,10,矽力杰 SY6970QCC,C5357542,开关充电+I2C电量计。U19。⚠ 认准 QCC 后缀，其它后缀封装不同
芯片,SY7069ADC,TSOT-23-6,—,2.5~5.5V,10,矽力杰 SY7069ADC,淘宝（立创未见）,同步升压 5V/3A。U20
连接器,MX1.25 卧贴 2P（1.25WT-2P）,间距1.25mm 卧贴,—,125V,10,—,—,⚠ 电池座 J9，要卧贴不是弯针；MP 脚 1.8x2.4、外缘距 7.50mm，与 PicoBlade 不通用
电感,功率电感 1.5uH,4x4mm 一体成型,—,Isat≥4A,10,Bourns SRN4018 或同规格,—,L17 升压电感，配 1MHz
电感,功率电感 1uH,4x4mm 一体成型,—,Isat≥5A,10,Bourns SRN4018 或同规格,—,L16 充电电感，配 1.5MHz。DCR≤30mΩ
热敏电阻,贴片 NTC 10K ±1%,0603,NTC,B值3380K/3435K 均可,10,Murata NCP18XH103F03RB / TDK NTCG163JF103FT1,—,⚠ RT1 电池测温，必须是贴片 NTC 不是普通电阻；B 值差异 <1°C，不用改分压电阻
电容,10uF,0805,X5R,16V,50,—,—,C73/C74/C75。用 0805 是因为直流偏置下容值衰减小（0603 在 5V 偏压只剩 3~4uF）
电容,1uF,0603,X5R,16V,50,—,—,C78/C79/C80 去耦
电容,22uF,1206,X5R,10V,50,—,—,C76/C77 SY7069 输入输出，datasheet 要求至少 22uF
电容,4.7uF,0603,X5R,16V,50,—,—,C71 SY6970 REGN
电容,47nF,0603,X7R,25V,50,—,—,C70 SY6970 自举电容
电容,6.8uF,1206,X5R,25V,50,—,—,⚠ C72 接 9V 侧，耐压必须 25V。0603 在 25V 档只到 1~2.2uF，买不到 6.8uF，所以用 1206
电阻,10k,0603,厚膜,±1%,50,—,—,R44/R45/R46 VBUS检测串阻 + STAT/INT 上拉
电阻,150k,0603,厚膜,±1%,50,—,—,R42 升压 FB 分压下 → 4.96V
电阻,180R,0603,厚膜,±1%,50,—,—,R38 SY6970 输入限流 ≈2A
电阻,1k,0603,厚膜,±1%,50,—,—,R43 CH224K VBUS→VDD 限流
电阻,31.6k,0603,厚膜,±1% E96,50,—,—,R40 NTC 分压下臂
电阻,470k,0603,厚膜,±1%,50,—,—,R41 升压 FB 分压上
电阻,5.1k,0603,厚膜,±1%,50,—,—,⚠ R7/R8 USB-C CC 下拉，只有不带电源版才贴，带电源版由 CH224K 内部提供
电阻,5.62k,0603,厚膜,±1% E96,50,—,—,R39 NTC 分压上臂
电阻,6.8k,0603,厚膜,±1%,50,—,—,⚠ R37 关键件：CH224K 档位电阻，决定诱骗 9V。漏贴或虚焊会请求 20V 烧 SY6970，多备

说明,本清单只含 V4 新增的电源部分，其余料项目里已有,,,,,,,
,数量是备货量（按打样 5 片 + 余量估），不是每板用量,,,,,,,
,带电源版：全贴，但不贴 R7/R8（CC 由 CH224K 内部提供）,,,,,,,
,不带电源版：只贴 R7/R8，其余全不贴,,,,,,,
