Comment,Description,Designator,Footprint,LibRef,Pins,Quantity,编号
100nF 50V X7R ±10%,去耦,"C10,C11,C12,C13,C14,C16,C17,C22,C23,C24,C25,C26,C27,C49,C61,C62,C63,C64,C65",0603,,,,C3834556
10kΩ ±1% 100mW,贴片电阻,"R1,R5,R6,R17,R18,R26,R27,R32,R34,R35,R44,R45,R46",0603,,,,
1uF 25V X7R ±10%,贴片电容,"C2,C3,C4,C6,C28,C29,C67,C78,C79,C80",0603,,,,
100pF 50V C0G ±5%,贴片电容,"C30,C38,C39,C45,C53,C54,C57,C58,C59",0402,,,,
IPEX1 板端内针 50Ω 6GHz,U.FL 座,"J2,J5,J6,J7,J8",SMD,,,,C41432122
1kΩ ±1% 100mW,贴片电阻,"R4,R31,R36,R43",0603,,,,
AO3401A,PMOS 高边开关,"Q2,Q3,Q4,Q5",SOT-23,,,,C347476
自恢复保险丝 6V 200mA,自恢复保险丝,"F2,F3,F4,F5",0805,,,,C516070
12pF,射频-级间耦合,"C31,C32,C33",0402,,,,C1547
3pF,射频-检波耦合,"C34,C35,C43",0402,,,,C696883
0Ω 跳线电阻 1/10W,贴片电阻,"R21,R22,R23",0603,,,,
4.7kΩ ±1% 100mW,贴片电阻,"R2,R3",0603,,,,
18pF 50V C0G ±5%,晶振负载,"C68,C69",0603,,,,C1647
ESD 3.3V Cj 0.6pF,射频-天线口ESD,"D2,D3",0402,,,,C2830293
100nF 25V X7R ±10%,贴片电容,"C37,C52",0402,,,,
7.5nH,射频-978匹配,"L9,L13",0402,,,,C82918
4.7uF 16V X5R ±10%,磁力计储能,"C15,C71",0603,,,,C19666
3.6pF,射频-978匹配,"C40,C44",0402,,,,C5552081
100nH,射频-偏置扼流,"L8,L14",0402,,,,C18221115
100pF 50V C0G ±5%,贴片电容,"C55,C56",0603,,,,
33nH,射频-偏置扼流,"L2,L15",0402,,,,C6807986
6.8nH,射频-978匹配,"L11,L12",0402,,,,C82919
33pF 50V C0G ±5%,晶振负载,"C19,C20",0603,,,,C1663
27Ω ±1% 100mW,贴片电阻,"R9,R10",0603,,,,
150kΩ ±1% 100mW,贴片电阻,R42,0603,,,,
47nF 50V X7R ±10%,贴片电容,C70,0603,,,,
1nF 50V X7R ±10%,贴片电容,C51,0603,,,,
100kΩ ±1% 100mW,贴片电阻,R33,0603,,,,
470kΩ ±1% 100mW,贴片电阻,R41,0603,,,,
52.3Ω ±1% 62.5mW,射频-端接,R19,0402,,,,C273696
5.62kΩ ±1% 100mW,贴片电阻,R39,0603,,,,
1uF 16V X5R ±10%,贴片电容,C5,0402,,,,
0Ω 跳线电阻 1/10W,贴片电阻,ZS1,0603,,,,
2.7pF,射频-978匹配,C41,0402,,,,C1561
6.8kΩ ±1% 100mW,贴片电阻,R37,0603,,,,
6.2pF,射频-978匹配,C42,0402,,,,C41744
31.6kΩ ±1% 100mW,贴片电阻,R40,0603,,,,
180Ω ±1% 100mW,贴片电阻,R38,0603,,,,
200pF 50V C0G ±5%,贴片电容,C47,0603,,,,
27nH,射频-978匹配,L10,0402,,,,C113111
48MHz ABM8W-7pF 无源晶振,无源晶振 4脚,Y2,SMD3225-4P,,,,C6732653
1kΩ ±1% 62.5mW,电阻,R30,0402,,,,C11702
12MHz 无源晶振,无源晶振 4脚,Y1,SMD3225-4P,,,,C9002
32.768kHz FC-135 无源晶振,无源晶振 2脚,Y3,SMD3215-2P,,,,C32346
3pF 50V C0G ±0.25pF,贴片电容,C46,0603,,,,
